VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,trip_type,trip_duration_minutes
1,2024-01-03 18:24:09,2024-01-03 18:57:49,4,2.91,1,N,195,212,Credit card,14.65,3.11,0.5,2.95,0.0,0.3,23.96,2.5,1,33.666666666666664
1,2024-01-24 23:49:23,2024-01-25 00:04:39,1,1.7,1,N,14,41,Credit card,11.51,4.46,0.5,3.16,0.0,0.3,19.88,0.0,1,15.266666666666667
1,2024-01-21 07:00:04,2024-01-21 07:21:46,2,2.16,1,N,44,71,Credit card,10.46,1.11,0.5,1.13,0.0,0.3,15.95,2.5,1,21.7
2,2024-01-14 14:31:32,2024-01-14 14:40:20,1,3.71,1,N,50,48,Cash,11.06,3.1,0.5,1.92,0.0,0.3,16.83,0.0,1,8.8
1,2024-01-14 10:09:48,2024-01-14 10:47:10,1,10.83,6,N,84,79,Cash,26.55,4.74,0.5,3.07,8.71,0.3,43.82,0.0,1,37.36666666666667
2,2024-01-27 14:47:48,2024-01-27 14:54:03,1,8.04,1,N,235,218,Credit card,20.63,2.65,0.5,2.59,0.0,0.3,26.62,0.0,1,6.25
2,2024-01-03 15:56:36,2024-01-03 16:21:59,1,9.56,1,Y,250,257,Credit card,32.23,4.88,0.5,5.24,0.0,0.3,43.1,0.0,1,25.383333333333333
1,2024-01-22 14:50:30,2024-01-22 15:12:18,1,6.28,1,N,81,32,Credit card,16.12,1.55,0.5,5.48,10.51,0.3,34.41,0.0,1,21.8
1,2024-01-07 05:53:36,2024-01-07 06:17:34,1,2.88,1,N,193,193,Credit card,3.0,2.82,0.5,0.27,0.0,0.3,6.84,0.0,1,23.966666666666665
2,2024-01-03 22:04:04,2024-01-03 22:10:22,1,2.6,1,N,3,88,Cash,12.09,1.56,0.5,1.03,0.0,0.3,15.43,0.0,1,6.3
2,2024-01-17 07:42:01,2024-01-17 07:57:04,1,1.88,1,N,135,90,Credit card,11.7,0.02,0.5,3.23,0.0,0.3,18.2,2.5,1,15.05
2,2024-01-31 05:51:46,2024-01-31 06:24:23,1,0.26,1,N,166,170,Cash,8.13,4.99,0.5,1.06,0.0,0.3,14.48,0.0,1,32.61666666666667
2,2024-01-23 19:23:59,2024-01-23 20:18:12,1,2.85,1,N,227,238,Credit card,12.74,1.2,0.5,1.74,8.25,0.3,24.68,0.0,1,54.21666666666667
2,2024-01-24 14:17:16,2024-01-24 14:34:33,3,8.37,1,N,217,232,Credit card,27.03,4.87,0.5,7.49,19.95,0.3,60.09,0.0,1,17.283333333333335
2,2024-01-23 05:48:11,2024-01-23 06:18:50,5,8.31,5,N,17,1,Cash,23.43,3.27,0.5,3.95,0.0,0.3,31.4,0.0,1,30.65
1,2024-01-25 08:49:54,2024-01-25 09:10:18,1,13.38,2,N,109,124,Credit card,29.72,4.52,0.5,6.73,14.67,0.3,58.89,2.5,1,20.4
1,2024-01-16 21:50:26,2024-01-16 22:08:20,1,3.9,1,N,21,5,Dispute,12.33,4.84,0.5,0.0,0.0,0.3,17.92,0.0,1,17.9
2,2024-01-04 23:18:59,2024-01-04 23:32:51,1,1.23,4,N,3,1,Cash,7.44,2.84,0.5,0.73,0.0,0.3,11.76,0.0,1,13.866666666666667
2,2024-01-27 00:46:21,2024-01-27 01:05:03,1,4.94,1,N,41,69,Cash,14.44,5.0,0.5,1.93,16.76,0.3,38.88,0.0,1,18.7
2,2024-01-14 23:05:13,2024-01-14 23:34:07,3,10.9,1,N,246,263,Cash,29.21,3.84,0.5,1.67,0.0,0.3,35.47,0.0,1,28.9
2,2024-01-16 12:15:42,2024-01-16 12:46:09,1,9.08,1,N,70,42,Credit card,22.31,2.62,0.5,6.83,0.0,0.3,32.51,0.0,1,30.45
2,2024-01-12 11:52:25,2024-01-12 11:59:41,1,2.38,1,N,195,179,Credit card,5.44,3.27,0.5,1.83,0.0,0.3,11.29,0.0,1,7.266666666666667
1,2024-01-06 15:49:00,2024-01-06 16:02:00,1,1.33,1,Y,187,170,Cash,11.34,0.97,0.5,1.23,0.0,0.3,14.29,0.0,1,13.0
1,2024-01-29 17:30:47,2024-01-29 17:39:16,1,1.3,1,N,229,180,Credit card,11.37,0.06,0.5,2.6,0.0,0.3,17.28,2.5,1,8.483333333333333
2,2024-01-25 05:29:10,2024-01-25 05:48:30,2,1.98,1,N,141,163,Cash,7.44,1.28,0.5,1.32,0.0,0.3,10.79,0.0,1,19.333333333333332
2,2024-01-20 23:02:08,2024-01-20 23:16:49,1,2.22,2,N,257,263,Credit card,8.89,2.17,0.5,3.17,0.0,0.3,14.98,0.0,1,14.683333333333334
1,2024-01-13 11:23:46,2024-01-13 11:47:13,1,2.72,1,N,113,104,Cash,6.36,1.14,0.5,1.24,0.0,0.3,9.49,0.0,1,23.45
1,2024-01-26 12:08:04,2024-01-26 12:32:36,1,5.38,1,N,208,208,Credit card,17.88,2.57,0.5,1.09,0.0,0.3,22.29,0.0,1,24.533333333333335
2,2024-01-17 21:47:57,2024-01-17 21:51:20,4,2.65,1,Y,206,209,Cash,14.4,3.29,0.5,1.51,14.71,0.3,34.66,0.0,2,3.3833333333333333
